Sentence,Category
แต่ฉันต้องฝืนและทนเอาไว้,neg
แค่ข้ามคืนที่มันโหดร้าย,neg
ฉันรู้ว่าเธอไม่รู้ว่าใครที่คู่ควร,neg
ก็เดาอะไร ไม่ได้ดังใจ,neg
บนหนทาง มีอะไรที่แน่นอน,neg
ที่เคยคบวันก่อน เลิกกันง่าย ๆ ก็มี,neg
ออกก้าวไป ตามที่ใจเราต้องการ,pos
เก็บไว้อย่างดี,pos
แพ้ให้เธอทุกที,neg
ต้านทานเธอแทบไม่ไหว,neg
คิดไปไกลสติสตางค์มันหายไปไหน,neg
หวงเธอแต่ทำอะไรไม่ได้,neg
ใกล้เธอคงดูไม่ดีเท่าไหร่,neg
ได้แค่มองเธออย่างนี้ก็ดีแค่ไหน,pos
ไม่ชอบเลย,neg
ไม่มีสิทธิ์พูดอะไร,neg
ตอนนี้ยังไม่มีสิทธิ์,neg
ถ้าจะหึงก็คงจะผิด,neg
แค่ไม่ค่อยชอบ,neg
มันมากเกินไป,neg
ไม่ค่อยชอบใจเท่าไรหรอก,neg
ทำได้ก็เพียงแค่มอง,neg
ไม่ชอบให้เธอใกล้ใคร,neg
ไม่ชอบให้ใครใกล้เธอ,neg
แต่พอหลับตาเมื่อสายแล้วเธอก็หายไป,neg
ดั่งไม่เคยได้มีแม้ใคร,neg
ไม่ทันคิด,neg
ฉันรู้ว่าเราไม่เหมาะและควรเท่าไร,neg
ส่วนฉันทำได้เเค่ฝัน,neg
เธอสลายหายไป,neg
แล้วฉันจะกอดเธอไว้,pos
ฉันจะมอบหัวใจ,pos
ดั่งไม่เคยได้มีเเม้ใครอยู่ตรงนี้,neg
คำพูดดีดีเหล่านั้น,pos
เข้าใจว่าคงเป็นรัก,pos
ที่เธอห่วงใยอย่างนั้นเพิ่งรู้,pos
ว่าหลอกกันทั้งนั้น,neg
เธอไม่เคยรักกันอย่างฉันรักเธอทั้งหัวใจ,neg
นี่เธอได้ที่เธอต้องการหมดแล้วใช่ไหม,neg
สะใจพอหรือยังที่เห็นฉันต้องปวดใจอย่างนี้,neg
ถ้าไม่รักทำไมต้องทำเป็นรัก,neg
ทำไมใจร้ายกับฉันอย่างนี้,neg
หลอกกันทำไมไอ้คนไม่มีหัวใจ,neg
สะใจเธอแล้วใช่ไหม,neg
ไอ้คนที่เธอหลอกใช้,neg
รู้ตัวก็วันที่สาย,neg
ก็ให้เธอไปหมดแล้วทั้งใจ,neg
ไม่เหลือเลย,neg
ก็หลอกกันทั้งนั้น,neg
เธอไม่เคยรักกันอย่างฉัน,neg
รักเธอไปทั้งหัวใจ,pos
ระวังเดี๋ยวก็โดนท่าไม้ตายหรอก,neg
เธอชอบทำให้รอ,neg
หรือต้องให้หายไปใช่ไหม,neg
โชคดีนะฉันคงต้องไปก่อน,pos
ชอบปะละ อิอิ,pos
ขอให้เธอนอนไม่หลับคอยให้ฉันทักไป,neg
ไม่ค่อยเเน่ใจ,neg
ไม่ค่อยมั่นใจ,neg
ไม่รู้คำตอบมันอยู่ที่ไหน,neg
เธออยากจะหลอกใครก็ตามใจ,neg
เเต่อย่ามาหลอกฉันเลย,neg
ทุกทุกครั้งที่ฉันนั้นอยู่กับเธอฉันพูดไม่ออก,neg
อย่ามาหลอกฉันเลยเธอ,neg
ในใจฉันเริ่มทนไม่ไหว,neg
กลัวเธอจะคิดไม่เหมือนกัน,neg
มันคงไม่คุ้มถ้าบอกไปอย่างนั้น,neg
ไม่เป็นไร ไม่เป็นไร,pos
เลือกจะจากหรืออยากเป็นมากกว่านี้อีก,neg
เก็บเธอไว้ดีกว่าเจ็บดีกว่าเก็บน้ำตา,neg
แต่ว่ามันคงจะไม่มีวัน,neg
มันคงไม่คุ้มถ้าบอกไป อย่างนั้น,neg
โทษทีช่วงนี้ ไม่ค่อยมีเวลาให้คำว่าเหงา,neg
ก็โปรดเข้าใจ คนมีความรักก็เป็นอย่างงี้,pos
คนที่รักฉันได้มากเท่าเธอ,pos
ขอบคุณที่เธอจับมือกับฉัน,pos
ทำให้ทุกวันมันมากกว่าฝัน,pos
ถ้ารู้อย่างนี้ น่าจะรักกันมาตั้งนาน,neg
การมีใครให้เราได้รักมันดีเท่าไร,pos
รู้งี้เป็นแฟนกันตั้งนานแล้ว,neg
คนที่อินด้วยกันทั้งเสียใจและดีใจ,pos
คือคนธรรมดาที่ห่วงกันทุกเวลา,pos
เหนื่อยแค่ไหนก็หายแค่มีคนหนึ่งให้ซบไหล่,pos
หากโลกนี้ เป็นอย่างไร ก็จะทิ้งมันเอาไว้,neg
จำเลยอย่าแย้ง,neg
ความผิดของเธอนั้นมีดังนี้,neg
โทษนะคะที่รัก,pos
เรื่องที่เธอชอบใคร,pos
เรื่องที่เธอต้องชดใช้,neg
คดีนี้ช่างอุกฉกรรจ์,neg
สะเทือนขวัญประชาชี,neg
แล้วทิ้งฉันไปไม่ปรานี,neg
น้ำตาไหลเป็นวารี,neg
ว่าอย่าไปคิดมากมายนัก,pos
กลับส่งคำหวานมาทายทัก,pos
มาบอกว่าเหงามาบอกว่าเพ้อ,neg
บอกว่าอยากเจอจะตายชัก,neg
ไอ้คำว่ารัก,pos
ให้ความหวังนี่มันอิหยังวะ,neg
คดีร้ายแรงศาลต้องตัดสิน,neg
จำเลยเป็นผู้ต้องขังละ,neg
ยอมมอบใจเพราะความคิดถึง,pos
รอให้เธอกอด,pos
แม้มันอาจจะดูใจร้าย,neg
ไม่เคยต้องการจะทำร้ายเลย,pos
เพราะว่าใจมันหวงเกินไป,neg
จะรักให้มากที่สุด,pos
เธอพร้อมจะทำทุกทาง ก็เพื่อให้เราอยู่ด้วยกัน,pos
สายตาและมือของเธอ ช่างดูอ่อนโยนต่อฉัน,pos
แต่ฉันไม่อยากให้เธอ ต้องเสียใจ,pos
ฉันไม่เคยลืม ฉันไม่เคยลืมเขาไป สักวัน,neg
ยังคิดถึงเขา ยังคิดถึงเขา,pos
ฉันใจร้ายแบบนี้,neg
อยาก ให้เธอไปเจอคนที่ดี,pos
ถ้าเธอรักฉันจริง,pos
ได้โปรดทิ้งฉันไป,neg
ได้โปรดเดินหนี ฉันไปให้ไกล,neg
อย่ากอดฉันไว้เลย,neg
อย่าอยู่กับฉันเลย,neg
คนที่ลืมแฟนเก่าไม่ได้แบบฉัน,neg
ไม่ควร ได้รับความรักจากใคร,neg
เสียงของเธอ บอกรักฉันในทุกคืน,pos
ตื่นขึ้นมา ฉันก็ลืม ฉันคิดถึงแต่เขา,neg
ภาวนาเพื่อให้ลืม แต่สุดท้ายก็ไม่ลืม,neg
ยังคิดถึงแต่รักวันเก่าๆ,neg
ฉันผิดเอง เป็นฉัน,neg
ฉันแค่เหงา,neg
ไม่อยากให้เธอต้องปวดร้าว,pos
รีบไปจากฉันเถอะเธอ,neg
ไม่อยากให้เธอปวดร้าว,pos
ถ้าฉันมีเธอเป็นเพียงรักเดียว,pos
และเธอมีฉันคนเดียวทั้งใจ,pos
มันก็คงจะเป็นความรักที่ใฝ่ฝัน,pos
คนที่มองว่าฉันสำคัญ,pos
คนที่รักฉันอย่างไม่เคยรักใคร,pos
แปลกที่คนหนึ่งคนรักฉันจนหมดใจ,pos
แต่ใจฉันไม่เคยมีเขา,neg
คนอีกคนที่เอาแต่ทำให้ปวดร้าว,neg
แต่ใจเจ้ากรรมไม่เคยลืม,neg
ผิดที่ใจไม่จำว่ามันไม่ควรรักใคร,neg
เจ็บที่ใคร ๆ เขาก็มองว่าเราหลายใจ,neg
เกลียดตัวเองจริง ๆ ที่ฝืนหัวใจไม่ได้,neg
ฉันยอมสองใจเพราะรักเธอ,neg
มีแต่ทางที่ต้องเสียใจ,neg
แต่ฉันคงไม่มีสิทธิ์จะโทรไปถาม จะฝากข้อความ,neg
เป็นห่วงว่าเธออยู่ไหน เป็นเช่นไร,pos
ส่วนฉันทำอะไรไม่ได้เลย,neg
อย่าให้เธอต้องเหงา,pos
อยากพบเธออีกครั้ง,pos
ฉันคิดถึง จนแทบทนไม่ไหว,neg
แต่ทำได้แค่ฝากให้ดาวไปกอดเธอ,pos
ที่เธอเป็นเธออย่างนี้นะดีอยู่แล้ว,pos
ที่เป็นเธอแบบนี้นะดีอยู่แล้ว,pos
เป็นความธรรมดาที่แสนจะพิเศษ,pos
สำหรับฉันว่ามันดีที่สุดในใจแล้ว,pos
รู้บ้างไหมว่ามันดีที่สุดในใจฉันแล้ว,pos
เพียงเท่านี้ก็น่ารักดีอยู่แล้ว,pos
ที่เธอยิ้มอย่างนี้นะดีอยู่แล้ว,pos
ที่เธอเป็นแบบนี้นะดีอยู่แล้ว,pos
คนที่ฉันต้องการมากมายที่สุดก็คือเธอแค่เพียงผู้เดียวเท่านั้น,pos
ดวงดาวใดเล่าจะงดงามเท่าดวงตาของเธอ (ดวงตาของเธอ),pos
ฉันว่าไม่มีแล้วหญิงงามใดเล่าจะงดงามเท่าดวงใจของเธอ (ดวงใจของเธอ),pos
แบบนี้นะดีอยู่แล้ว,pos
ก่อนเธอจะลาไม่ต้องมาบอกว่ารัก,neg
เห็นไหมว่ามีน้ำตา,neg
ไม่สงสารกันบ้างเลย,neg
ฉันว่าไอ้เรื่องพรรค์นั้นมันน้ำลาย น้ำลาย น้ำลาย,neg
จำเลยจำเป็นต้องยอมจำใจแค่นั้นเอง,neg
สุดท้ายต้องมาโดนเธอเท,neg
เจ็บก็ต้องทน,neg
ต้องแอบร้องจนเลือดปนน้ำตา,neg
รักก็เหมือนระเบิดเวลานาฬิกาติ๊กตอก,neg
แต่ก่อนจะลาอย่ามาพูดดี,neg
ถ้าเธอแค่ไม่ต้องการให้ฉันได้อยู่ตรงนี้,neg
ไม่ต้องมาบอกว่ารัก,neg
รักฉันเพียงเท่านั้น,pos
คำโกหกเหล่านั้น,neg
ทำอะไรไม่ได้คงได้แต่ทำใจ,neg
แต่ฉากสุดท้ายคงเป็นฉันที่เสียใจ,neg
แต่สมองมันไม่เคยจำ,neg
ที่บอกรักกันมันก็แค่น้ำลาย,neg
แต่หากยืนยันจะไปพี่รั้งไม่ได้,neg
แต่จะให้พูดตรงตรงไม่ใช่คนแบบนั้น,neg
เธอฉันก็คนทำไมต้องเหยียบซ้ำ,neg
แม่หน้ามนรู้ว่าเธอเกลียดฉัน,neg
แต่มารยาทนิดนึงคนเคยรักให้เกียรติกันหน่อยสิ,neg
โอ้ ช่างงามเกินจริง,pos
ไม่มีที่ติ เหนือยิ่งทุกสิ่งที่พบเจอมา,pos
เพราะคุณ มีค่ากว่าสิ่งไหน ๆ,pos
มันคงสุขสม มีคุณและผมในงานวิวาห์,pos
จะไม่นอกใจ ให้ซ้ำทรวงใน ดั่งเช่นดารา,pos
ได้โปรดจันทรา บอกวรัญญา ว่าผมรักเธอ,pos
จะทำยังไงก็ไม่รัก,neg
ยังไงก็ไม่แคร์,neg
ไม่เห็นว่าจะมีความหมาย,neg
เธอคงจะไม่รัก,neg
ใช้เวลาที่มีอยู่ในความคิดเฉิ่มเฉิ่ม,neg
รักดีดีที่เธอมีให้กัน,pos
เธอใส่ใจคนอยู่เป็นร้อย,pos
คนถูกใจเธออยู่นับพัน,pos
เธอดูดีในแบบของเธอ,pos
อยู่เป็นความหวังของใครต่อใครให้ไปนานนาน,pos
เป็นที่รักของทุกทุกคน,pos
รู้สึกมันไม่ค่อยดีเหมือนมีอาการหวั่นไหว,neg
ฉันก็นอนไม่ค่อยจะหลับ,neg
ก็ตั้งแต่วันนั้นที่ฉันได้เจอเธอก็เผลอไปคิดว่ามันคือรัก,neg
แต่รู้ตัวอีกทีเธอก็เดินไปจากฉัน,neg
คงจะไม่รอและคงจะไม่หวัง,neg
อย่าปล่อยให้มโน,neg
ถ้าเธอจะทิ้งไว้ให้ช้ำคงไม่โอ,neg
วันคืนที่น่าเบื่อ,neg
มีชีวิตขึ้นทันที,pos
เธอคือพรุ่งนี้ที่ฉันรอ,pos
ทำใจฉันวุ่นวาย,neg
ฝืนฉันฝืนไม่ได้แล้ว,neg
ยอมฉันยอมแพ้เธอไปแล้วไง,neg
รู้แค่เพียงมันโคตรพิเศษเลย,pos
แต่ว่าสิ่งตามมามันอาจเลวร้าย,neg
ฉันจึงทนทนไปไม่อยากให้เธอหาย,neg
ขอบคุณครับ,pos
ก็ยอมแพ้ทุกที,neg
ฉันเป็นเพื่อนที่แสนดี,pos
อยู่ใกล้แค่นี้แต่ไม่กล้าพูดไป,neg
จะไม่มีวันทำให้เธอเสียใจ,pos
คนที่ร่ำลาที่เขาทำเธอเสียใจ,neg
เจ็บ,neg
เจ็บทุกครั้งไป,neg
ที่เห็นเธอผิดหวัง,neg
จากคนที่หมดเยื่อใย,neg
คำที่เธอไม่อยากฟัง,neg
ก็บอกแล้วไงว่าเขาไม่รัก,neg
ก็บอกแล้วไงว่าเขาไม่สนเธอ,neg
ทั้งที่เธอไม่มีหวัง,neg
ก็บอกแล้วไงว่าเขาไม่มา,neg
คอยซับน้ำตาดูแลให้หายดี,neg
อีกนานเท่าไรที่ทั้งหัวใจเธอนั้นจะหายดี,neg
เธอไม่รักกันและคงไม่มอง,neg
ยอมเป็นที่สำรองเก็บน้ำตา,neg
เมื่อเธอเจ็บจากเขามา,neg
เหนื่อยหน่อยนะ,pos
ถ้าเธอยังไม่ถอดใจ,pos
ทั้งว่าเธอไม่มีหวัง,neg
คอยซับน้ำตา (ซับน้ำตา),neg
ดูแลให้หายดี,pos
ถ้าเธอรักเขาฉันก็รักเธออยู่ดี,pos
เธอจะยิ้มกว้างขึ้นทุกที,pos
เวลาที่ได้เฝ้ามองแววตาที่ดูสดใส,pos
ฉันไม่อยากละสายตาไปไหน,pos
ฉันคงทนไม่ได้แน่เลย,neg
ให้ฉันอยู่ตรงนี้ได้คอยดูแลเธอไม่ไปไหน,pos
เมื่อไรที่เธอเศร้าใจอยากทำให้เธอยิ้มได้,pos
เธอรู้ไหมมีใครตรงนี้ที่เขาเฝ้าห่วงใย,pos
แค่เรามีกันอย่างตอนนี้,pos
หากมีเรื่องราวเศร้าใจอยากทำให้เธอยิ้มได้,pos
﻿วิ่งตามเธออย่างนี้มันเหนื่อยรู้ไหม,neg
พอเหอะความเหงา,neg
เหมือนกับโกโบริที่ตอนจบต้องตาย,neg
ไม่ว่าเหงาเท่าไร,neg
เพลินไปด้วยกันก่อนไม่รีบร้อนไง,pos
แทบไม่ไหว,neg
ฉันสงสัยฉันไม่เข้าใจ,neg
ว่าความคิดถึงของเธอกับฉั,pos
ถ้าเธอเหงาเมื่อไร,neg
ละครน้ำเน่าดาวพระศุกร์ต้องอาย,neg
คิด(แต่ไม่)ถึง,neg
หนังมันเศร้าพูดไปแล้วก็เจ็บจี๊ด,neg
ตัววัดแสงมันบกพร่อง,neg
ที่ต้องคร่ำครวญแบบนี้,neg
ตอนนั้นที่พูดอะไรไม่ทันคิด,neg
ส่งไปไม่เคยถึงเธอเลย,neg
ดราม่ากว่านี้มีอีกไหม,neg
เพราะเรานั้นมีความสุขมากล้น,pos
เพราะฉันไม่พร้อมรักใครนอกจากเธอ,pos
ทําไมชีวิตมันดีอย่างนี้,pos
น้ำตาท่วมจอเป็นเราก็คงไม่ทนดู,neg
จะขอแก้ตัวก็คงไม่มีสิทธิ์,neg
รับบทคนแพ้ทุกทีทุกที,neg
เพราะฉันยังวิ่งตามไม่ทันเธอเลยสักครั้ง,neg
ยังนึกถึงวันนั้นวันที่เราหัวเราะกัน,pos
เหนื่อยล้ามานานเท่าไรก็ยังไปไม่ถึงไหน,neg
แสงงดงามแบบนี้ฟ้าสีครามอย่างนี้,pos
ที่บอกเลิกวันนั้นฉันไม่ได้ตั้งใจ,pos
ขอให้เธอและฉันได้เคียงคู่กันขอให้เราได้รักกันชัวนิรันดร์,pos
ถ้ารู้สึกมากกว่าที่เธอมีฉันก็คงแพ้ไป,neg
แต่ไม่ไหวเหมือนใจมันยังไม่พร้อม,neg
ยังรักเธอเหมือนเดิมแม้ในวันนี้,pos
เธอแค่หลอกถ่ายฉันอยู่นี่นา,neg
ก็ไม่มีเลยคนที่เข้าใจ,neg
ใครใครก็คอยจะทำร้าย,neg
ฉันผิดไปแล้ว,neg
ต้องร้อนรนอย่างนั้น,neg
ให้ฉันเป็นที่พักใจอยู่ตรงนี้,pos
แต่พอเอ่ยบงชูร์แล้วเขาก็บอกว่าลาก่อน,neg
รักปลอมปลอมอย่างกับเป็นพลาสติก,neg
อยู่กับฉันไม่ต้องคิดให้มันมาก,pos
ไม่เคยไม่คิดถึงเธอเลย,pos
และฉันคงดูไม่ออก,neg
ว่ามีใครทนทุกข์ทรมาน,neg
แต่เราไม่แคร์ไม่สน,neg
ไม่ว่ารักใครก็มีแต่ซ้ำเติม,neg
จะต้องเสียเธอไป,neg
ไม่เคยรู้,neg
แต่หัวใจไม่เคยได้ตอบ,neg
เพราะตอนนี้ฉันวิ่งตามเธอไม่ทัน,neg
ที่ตอนนั้นฉันพลั้งพูดไปเพราะใจร้อน
คิดว่าสักวันตัวฉันคงถูกลืม,neg
หัวใจยังแปลไม่ออก,neg
รู้บ้างไหมว่าเจ็บแค่ไหน,neg
เธอหันมาแล้วหัวเราะเฮฮา,pos
เธอขอให้อยู่เพื่อให้เธอสบายใจ,pos
โอ๊ยโคตรสบาย,pos
ฉันหวังให้เธอรักกัน,pos
ว่าเธอจะมาหลอก,neg
ไม่เคยลืมรอยยิ้มเธอสักครั้ง,pos
เธอยังดีที่สุดยังอบอุ่นกว่าใคร,pos
ว่าเรามันดวงตก,neg
คิดคิด(แต่ไม่)ถึงเธอ,neg
รักใครก็แพ้หมดรับบทช้ำไปและช้ำมา,neg
เธอยังอภัยให้ฉันอยู่ทุกครั้ง,pos
ถ้าเธอนั้นจะไม่กลับมา,neg
แต่ไม่มีไม่มีใครเข้าใจฉัน,neg
แค่นึกภาพตอนนั้นฉันก็มีน้ำตา,neg
เธอเคยรู้สึกเหงา,neg
ต่อให้ทุ่มเทไปเต็มที่สุดท้ายก็มีน้ำตาก่อน,neg
เพราะว่าฉันมีแต่เธอทั้งหัวใจ,pos

ตัวฉันก็ใช้ชีวิตไปแค่ผ่านผ่านไปเท่านั้น,neg
ถ้าเธอยิ้มฉันก็ดีใจ,pos
ได้อยู่เป็นเพื่อนคอยปลอบ,pos
ทุกยามเมื่อเธอหวั่นไหว,neg
เมื่อไรที่เธอผิดหวัง ฉันจะปลอบโยนหัวใจ,pos
จะกี่แผลที่เธอเจอ ฉันจะเยียวยาให้หาย,pos
แม้จะรู้ในตอนสุดท้ายเธอจะทิ้งกัน,neg
ชอบกว่านี้คงไม่ได้แล้ว,pos
อย่างน้อยก็มีความสุขที่แอบเพ้อ ซ่อนเอาไว้,pos
แค่นี้ก็มีความสุขดีนี่นา,pos
แค่ได้รักเธอฉันก็พอใจ,pos
ถ้าชอบก็ใช่ แล้วเธอก็ใช่มาก,pos
ฉันก็รู้ดีว่าเรื่องเรา มันคงไม่มีหวัง,neg
แต่เพราะรักเธอ ก็เลยยังไม่ไปไหน,pos
ฉันก็ยินดีแม้ความสุขนั้นไม่มีฉัน,pos
ฉันดีใจที่เธอเจอคนที่เหมาะสม,pos
ขืนอยู่กับฉันชีวิตของเธอคงล่มจม,neg
พ่อแม่ของเธอคงบอกคู่เธอเหมือนกิ่งทองใบหยก,pos
แต่ถ้าเป็นฉันคงเหมือนหนูตกถังข้าวสารดูสกปรก,neg
ไปกินข้าวกับญาติเธอ ฉันคงเป็นได้แค่ตัวตลก,neg
เธอจึงได้ครอบครองรอยยิ้มที่สวยงาม ขนาดนี้,pos
ความเดียวดายสลาย,pos
ฉันขอบคุณและให้คำสัญญา,pos
ว่าจะรักษาไว้,pos
และฉันคือคนโชคดี,pos
เธอคือชีวิตและลมหายใจ,pos
ดีใจเหลือเกินที่ไม่บังเอิญหรือว่าฝันไป,pos
ใกล้เธอแล้วรู้สึกดี,pos
พยายามจนวันนี้,pos
สุดท้ายรางวัลไม่มี,neg
วิ่งบนเส้นทางความรัก ไม่เจอเส้นชัยสักที,neg
เข้าข้างตัวเองในแง่ดี,pos
อย่างน้อยหัวใจเราก็แข็งแรง,pos
เหนื่อยก็พอไหว,pos
แต่เหนื่อยหัวใจจะทำไงดี,neg
เหมือนไม่มีเวลาถอดใจ,pos
ล้มก็สู้อีก ต้องสู้อีก,pos
อย่างน้อยหัวใจฉันก็แข็งแรง,pos
หยุดทำงาน เรามาเพื่อพักผ่อน,pos
ไม่ต้องไปกังวลกับเรื่องของใคร,pos
ได้รู้มันดีเพียงใด,pos
ไม่ต้องการกว่านี้,pos
ยิ้มข้างในใจ,pos
คือความสุขในใจของฉัน,pos
แค่นี้ก็ดีเกินพอ,pos
ต้องเป็นได้ดังที่ตั้งใจ,pos
ที่เป็นความหวังของหัวใจ,pos
กลับมาทิ้งกันไป,neg
ต้องสูญสิ้นไปหมดทุกอย่าง,neg
ปวดใจเหลือเกิน,neg
แต่คงต้องทนข่มความทรมาน,neg
ฉันจะต้องก้าวผ่าน,pos
แม้ว่าจะต้องเสียความรักไป,neg
แม้ว่าจะไม่เหลือใครสักคน,neg
มันจะเจ็บจะช้ำกี่หน,neg
แต่คนคนนี้ไม่ท้อใจ,pos
แม้ว่าในวันนี้มีน้ำตา,neg
จะข่มมันให้ไหลอยู่ข้างใน,neg
จะยอมสู้ทน,pos
เพื่อรอพบวันที่สดใส,pos
สักคนที่ทำให้กันด้วยหัวใจ,pos
อดทนไว้และบอกใจ,pos
จะไม่ยอมหมดหวัง,pos
อาจทำให้ใครบางคนนึกหวั่น,neg
หวาดกลัว,neg
ว่าความรักไม่มีจริง,neg
ความรักมันก็เลยยิ่งห่างไกล,neg
ลืมและลบความกลัวที่เคยมี,pos
เธอนั้นจะเข้าใจ,pos
ความรักที่ดีดีมีอยู่จริง,pos
ไม่มีอะไรที่เป็นไปไม่ได้สำหรับฉัน,pos
เธออาจได้เจอกับคนที่เธอไม่คาดฝัน,pos
และบอกรักเธอ,pos
เธออาจได้เจอกับคนของเธอเข้าสักวัน,pos
คนที่ทำให้ใจ ไม่หนาวสั่น,pos
แล้วบอกรักเธอ,pos
คนที่ทำให้ใจไม่หนาวสั่น,pos
ว่าโลกนั้นไม่ได้โหดร้าย,pos
ว่ารักนั้นไม่เคยทำร้าย,pos
ปล่อยใจให้โลกใบกลมมันหมุนจนเราได้เข้าใจ,pos
พร้อมจะปล่อยกายทิ้งความวุ่นวาย,pos
ทุกทุกเรื่องราวร้ายร้าย,neg
โลกใบเดิมที่อาจดูเหมือนว่างเปล่า,neg
ในมุมเหงาเหงาของเธอเหลือไว้ให้ใคร,neg
กลิ่นยามเช้าช่างดูสวยงาม,pos
เหมือนท้องฟ้าที่คอยส่งรอยยิ้มลงมา,pos
ทำให้ฉันคิดถึงทุกที,pos
ว่ามีใครเค้ารอและคอยที่จะเจอ,pos
ไม่ว่าจะใกล้จะไกลก็ไม่กลัว,pos
รอคอย คอยวันนั้นที่ฝันจะสำเร็จ,pos
ได้แต่หวังไว้และมองออกไปข้างหน้า,pos
โหยหาโชคชะตาความฝันนำมาเจอความอ่อนล้า,neg
จะได้ไม่เหนื่อยกับมันนัก,pos
อะไรที่ยากมาก,neg
ค่อยค่อยเดินไปก็ไม่สาย,pos
มันไม่ได้เสียหาย,pos
และรู้ดีว่าจะต้องพลีหัวใจให้มันหมด,neg
